G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TEAM,SEASON,SEASON_START
82,19830,3384,7178,0.471,821,2118,0.388,2563,5060,0.507,1853,2340,0.792,796,2936,3732,1970,561,385,1193,1913,9442,LAC,2018-19,2018
82,19730,3251,7218,0.45,928,2658,0.349,2323,4560,0.509,1238,1782,0.695,921,2879,3800,1991,627,448,1208,1712,8668,MIA,2018-19,2018
82,19930,3456,7387,0.468,930,2731,0.341,2526,4656,0.5429999999999999,1508,1963,0.768,794,2679,3473,2154,683,379,1154,1701,9350,WAS,2018-19,2018
82,19855,3185,7238,0.44,993,2854,0.348,2192,4384,0.5,1415,1893,0.747,936,2752,3688,1845,569,331,1135,1811,8778,DET,2018-19,2018
82,19805,3407,7233,0.471,889,2474,0.359,2518,4759,0.529,1742,2258,0.7709999999999999,892,3025,3917,2207,606,432,1223,1745,9445,PHI,2018-19,2018
73,17745,3069,6488,0.473,801,2234,0.359,2268,4254,0.5329999999999999,1185,1526,0.777,786,2436,3222,1952,586,337,1005,1485,8124,DEN,2019-20,2019
72,17455,2943,6364,0.462,914,2511,0.364,2029,3853,0.527,1127,1464,0.77,695,2372,3067,1713,556,293,1043,1595,7927,SAC,2019-20,2019
65,15725,2619,5715,0.458,727,2070,0.35100000000000003,1892,3645,0.519,983,1296,0.758,704,2172,2876,1500,447,211,1073,1188,6948,CLE,2019-20,2019
72,17380,2936,6512,0.451,1126,3261,0.345,1810,3251,0.557,1484,1876,0.7909999999999999,704,2484,3188,1557,627,371,1057,1566,8482,HOU,2019-20,2019
72,17430,3065,6598,0.465,982,2656,0.37,2083,3942,0.528,1229,1687,0.7290000000000001,797,2551,3348,1932,539,358,1181,1524,8341,NOP,2019-20,2019
73,17620,3075,6457,0.476,743,2046,0.363,2332,4411,0.529,1096,1393,0.787,636,2489,3125,1888,543,376,967,1445,7989,IND,2019-20,2019
73,17595,3160,6638,0.476,1007,2840,0.355,2153,3798,0.5670000000000001,1336,1800,0.742,691,3083,3774,1889,526,429,1102,1431,8663,MIL,2019-20,2019
73,17570,3106,6634,0.468,798,2297,0.34700000000000003,2308,4337,0.532,1212,1589,0.763,754,2643,3397,1965,576,398,1113,1546,8222,MEM,2019-20,2019
72,17430,2879,6156,0.468,770,2171,0.355,2109,3985,0.529,1422,1787,0.7959999999999999,593,2495,3088,1562,550,353,986,1390,7950,OKC,2019-20,2019
72,17480,2908,6498,0.448,941,2746,0.343,1967,3752,0.524,1291,1732,0.745,766,2683,3449,1761,464,323,1099,1510,8048,BRK,2019-20,2019
67,16280,2723,6067,0.449,805,2416,0.333,1918,3651,0.525,1237,1566,0.79,661,2237,2898,1605,523,341,1086,1548,7488,ATL,2019-20,2019
75,18175,3124,6772,0.461,1136,3095,0.3670000000000001,1988,3677,0.541,1392,1787,0.779,791,2729,3520,1849,460,363,953,1462,8776,DAL,2019-20,2019
71,17215,2995,6350,0.472,760,2021,0.376,2235,4329,0.516,1348,1664,0.81,640,2530,3170,1751,518,390,895,1377,8098,SAS,2019-20,2019
73,17570,2871,6468,0.444,807,2354,0.343,2064,4114,0.502,1282,1656,0.774,751,2498,3249,1747,599,396,937,1336,7831,ORL,2019-20,2019
72,17430,2971,6448,0.461,905,2487,0.364,2066,3961,0.522,1336,1668,0.8009999999999999,768,2549,3317,1655,595,406,995,1553,8183,BOS,2019-20,2019
65,15725,2510,5730,0.438,678,2032,0.334,1832,3698,0.495,1214,1511,0.8029999999999999,647,2138,2785,1663,534,299,969,1304,6912,GSW,2019-20,2019
73,17595,3006,6429,0.468,831,2320,0.358,2175,4109,0.529,1451,1740,0.8340000000000001,712,2465,3177,1987,559,290,1077,1609,8294,PHO,2019-20,2019
65,15675,2573,5762,0.447,793,2282,0.348,1780,3480,0.511,1006,1332,0.755,680,2041,2721,1510,652,265,1005,1417,6945,CHI,2019-20,2019
72,17380,2897,6331,0.458,995,2663,0.374,1902,3668,0.519,1329,1670,0.7959999999999999,685,2583,3268,1816,636,358,1067,1559,8118,TOR,2019-20,2019
71,17090,3006,6269,0.48,782,2242,0.349,2224,4027,0.552,1260,1728,0.7290000000000001,757,2490,3247,1803,612,468,1077,1471,8054,LAL,2019-20,2019
64,15560,2586,5865,0.441,853,2540,0.336,1733,3325,0.521,1223,1624,0.753,675,2193,2868,1525,555,362,981,1370,7248,MIN,2019-20,2019
72,17355,2886,6130,0.471,963,2537,0.38,1923,3593,0.535,1278,1641,0.779,656,2577,3233,1615,438,292,1089,1468,8013,UTA,2019-20,2019
66,15965,2638,5896,0.447,631,1872,0.337,2007,4024,0.499,1076,1550,0.6940000000000001,795,2274,3069,1456,504,313,946,1464,6983,NYK,2019-20,2019
74,17835,3122,6749,0.463,952,2525,0.377,2170,4224,0.514,1312,1632,0.804,754,2599,3353,1525,465,451,946,1606,8508,POR,2019-20,2019
72,17380,2992,6425,0.466,895,2410,0.371,2097,4015,0.522,1498,1894,0.7909999999999999,767,2664,3431,1708,511,338,1051,1594,8377,LAC,2019-20,2019
73,17745,2880,6160,0.468,979,2584,0.379,1901,3576,0.532,1440,1840,0.7829999999999999,620,2619,3239,1892,547,332,1088,1501,8179,MIA,2019-20,2019
72,17355,2990,6544,0.457,864,2345,0.368,2126,4199,0.506,1394,1770,0.7879999999999999,732,2295,3027,1801,574,309,1020,1634,8238,WAS,2019-20,2019
66,15965,2595,5658,0.459,791,2157,0.3670000000000001,1804,3501,0.515,1097,1476,0.743,644,2109,2753,1589,490,299,1008,1299,7078,DET,2019-20,2019
73,17595,3000,6417,0.468,848,2307,0.368,2152,4110,0.524,1236,1638,0.755,764,2553,3317,1884,586,389,1037,1529,8084,PHI,2019-20,2019
